standard_id,standard_number,title,description,category,status,document_type,domain,keywords,related_terms,application,version_year,official_source,verification_status
16,IS 15885 (Part 2/Sec 13),Safety of Lamp Control Gear - Particular Requirements for DC or AC Supplied Electronic Control Gear for LED Modules,Specifies safety requirements for electronic control gear (drivers) powering LED modules.,Safety,Active,Indian Standard,LED and Lighting,"LED driver safety, control gear, LED power supply","electronic ballast, LED converter",LED fixture manufacturing and procurement,2012,BIS,Verified
17,IS 16104,DC or AC Supplied Electronic Control Gear for LED Modules - Performance Requirements,Specifies performance requirements for LED control gears to ensure stable power delivery.,Performance,Active,Indian Standard,LED and Lighting,"LED driver performance, control gear efficiency, power supply specs","electronic ballast performance, LED converter efficiency",LED fixture manufacturing and procurement,2012,BIS,Verified
18,IS 16105,Method of Measurement of Lumen Maintenance of Solid State Light (LED) Sources,Outlines the testing procedures for measuring how well LED sources maintain their light output over time.,Test Method,Active,Indian Standard,LED and Lighting,"lumen maintenance, LED testing, light output test","LED degradation, solid state lighting test",Quality assurance and testing of LEDs,2012,BIS,Verified
19,IS 16106,Method of Electrical and Photometric Measurements of Solid-State Lighting (LED) Products,Specifies procedures for measuring electrical power and photometric properties of LED products.,Test Method,Active,Indian Standard,LED and Lighting,"photometric measurement, electrical measurement, LED testing","luminous flux test, LED power test",Quality assurance and testing of LEDs,2012,BIS,Verified
20,IS 16108,Photobiological Safety of Lamps and Lamp Systems,Specifies safety requirements to prevent optical radiation hazards from LEDs and other lamps.,Safety,Active,Indian Standard,LED and Lighting,"photobiological safety, optical radiation, eye safety LED","blue light hazard, UV emission",Safety assessment of all lighting products,2012,BIS,Verified
21,IS 456,Plain and Reinforced Concrete - Code of Practice,General structural use and design guidelines for plain and reinforced concrete.,Structural Design,Active,Indian Standard,Civil and Construction,"RCC, reinforced concrete, plain concrete, structural design","cement concrete, building construction",Building and structural construction,2000,BIS,Verified
22,IS 1786,High Strength Deformed Steel Bars and Wires for Concrete Reinforcement,Specifies requirements for high strength deformed steel bars used in concrete reinforcement.,Material Standard,Active,Indian Standard,Civil and Construction,"TMT bar, reinforcement steel, deformed bar, RCC steel","rebar, construction steel",RCC construction reinforcement,2008,BIS,Verified
23,IS 383,Coarse and Fine Aggregates for Concrete,Specifies requirements for naturally sourced and manufactured aggregates used in concrete mixes.,Material Standard,Active,Indian Standard,Civil and Construction,"concrete aggregate, coarse aggregate, fine aggregate, sand","crushed stone, building sand, concrete mix ingredients",Concrete batching and construction,2016,BIS,Verified
24,IS 10262,Concrete Mix Proportioning - Guidelines,Provides guidelines for proportioning concrete mixes to achieve desired strength and durability.,Structural Design,Active,Indian Standard,Civil and Construction,"concrete mix design, mix proportioning, target strength","concrete composition, batching design",Concrete mix formulation for construction,2019,BIS,Verified
25,IS 516,Methods of Tests for Strength of Concrete,Outlines the laboratory testing methods for determining the compressive and flexural strength of concrete.,Test Method,Active,Indian Standard,Civil and Construction,"concrete strength test, compressive strength, flexural strength","cube test, concrete testing, load bearing test",Quality control and testing of concrete,1959,BIS,Verified
26,IS 9103,Concrete Admixtures - Specification,Specifies requirements for chemical admixtures added to concrete to modify its properties.,Material Standard,Active,Indian Standard,Civil and Construction,"concrete admixture, plasticizer, superplasticizer, retarder","concrete chemicals, setting time modifier",Concrete batching and advanced mix design,1999,BIS,Verified
27,IS 875,Design Loads for Buildings and Structures,"Specifies various design loads including dead, live, wind, and snow loads for structural engineering.",Structural Design,Active,Indian Standard,Civil and Construction,"design load, wind load, dead load, live load","structural loading, building code loads",Structural analysis and building design,1987,BIS,Verified
28,IS 13920,Ductile Design and Detailing of Reinforced Concrete Structures Subjected to Seismic Forces,Provides guidelines for ductile detailing to ensure earthquake-resistant reinforced concrete structures.,Structural Design,Active,Indian Standard,Civil and Construction,"ductile detailing, seismic design, earthquake resistant","seismic reinforcement, structural ductility",Construction in seismic zones,2016,BIS,Verified
29,SP 34,Handbook on Concrete Reinforcement and Detailing,"Provides information on properties of reinforcing steel and detailing requirements, including storage, fabrication, assembly, and placing.",Supporting Technical Document,Active,BIS Handbook,Civil and Construction,"reinforcement detailing, bar bending, RCC detailing","steel detailing, rebar bending schedule",Concrete construction detailing,1987,BIS,Verified
30,SP 72,National Lighting Code,"Comprehensive handbook covering lighting design, visual environments, and application of LED and conventional lighting systems.",Supporting Technical Document,Active,BIS Special Publication,LED and Lighting,"lighting code, illumination design, visual environment","lighting guidelines, building lighting standard",Architectural lighting and electrical design,2010,BIS,Verified
